window_start,window_end,kind,horizon,as_of,symbol,anchor_close,venue_quote,fair_value,reopen,quote_move_bps,fair_move_bps,realised_bps,err_lighthouse_bps,err_venue_bps,err_lastclose_bps,lam_common,lam_idio,n_train
2026-02-18T20:00:00-05:00,2026-02-19T04:00:00-05:00,overnight,0.25,2026-02-18T22:00:00-05:00,RNOWUSDT,108.3113,108.87,108.7683,108.5,51.58,42.19,17.42,24.77,34.16,17.42,1.2,0.55,26
2026-02-18T20:00:00-05:00,2026-02-19T04:00:00-05:00,overnight,0.25,2026-02-18T22:00:00-05:00,RNVDAUSDT,187.9587,188.22,188.3856,188.25,13.9,22.71,15.5,7.22,1.6,15.5,1.2,0.55,26
2026-02-18T20:00:00-05:00,2026-02-19T04:00:00-05:00,overnight,0.25,2026-02-18T22:00:00-05:00,ROKLOUSDT,67.15,68.08,67.8827,67.75,138.5,109.12,89.35,19.76,49.14,89.35,1.2,0.55,26
2026-02-18T20:00:00-05:00,2026-02-19T04:00:00-05:00,overnight,0.25,2026-02-18T22:00:00-05:00,RORCLUSDT,156.15,157.39,157.163,158.1,79.41,64.88,124.88,60.0,45.47,124.88,1.2,0.55,26
2026-02-18T20:00:00-05:00,2026-02-19T04:00:00-05:00,overnight,0.25,2026-02-18T22:00:00-05:00,RPATHUSDT,11.14,11.14,11.1585,11.18,0.0,16.56,35.91,19.34,35.91,35.91,1.2,0.55,26
2026-02-18T20:00:00-05:00,2026-02-19T04:00:00-05:00,overnight,0.25,2026-02-18T22:00:00-05:00,RPLTRUSDT,135.51,136.22,136.1964,136.2,52.39,50.65,50.92,0.27,1.48,50.92,1.2,0.55,26
2026-02-18T20:00:00-05:00,2026-02-19T04:00:00-05:00,overnight,0.25,2026-02-18T22:00:00-05:00,RQCOMUSDT,143.05,143.59,143.6213,142.62,37.75,39.94,-30.06,70.0,67.81,30.06,1.2,0.55,26
2026-02-18T20:00:00-05:00,2026-02-19T04:00:00-05:00,overnight,0.25,2026-02-18T22:00:00-05:00,RQQQUSDT,605.41,606.41,606.7666,605.76,16.52,22.41,5.78,16.63,10.74,5.78,1.2,0.55,26
2026-02-18T20:00:00-05:00,2026-02-19T04:00:00-05:00,overnight,0.25,2026-02-18T22:00:00-05:00,RSMCIUSDT,29.7769,29.96,29.9522,29.89,61.49,58.87,37.98,20.88,23.51,37.98,1.2,0.55,26
2026-02-18T20:00:00-05:00,2026-02-19T04:00:00-05:00,overnight,0.25,2026-02-18T22:00:00-05:00,RSNDKUSDT,601.6,604.01,604.0832,609.5,40.06,41.28,131.32,90.04,91.26,131.32,1.2,0.55,26
2026-02-18T20:00:00-05:00,2026-02-19T04:00:00-05:00,overnight,0.25,2026-02-18T22:00:00-05:00,RSOXLUSDT,66.2,66.73,66.7911,66.8,80.06,89.3,90.63,1.34,10.57,90.63,1.2,0.55,26
